,xcenter,ycenter,width,height,color,path,name
0,0.494810551404953,0.5071008205413818,0.989621102809906,0.9691923260688782,yellow,/content/VeRi/image_test/0002_c002_00030600_0.jpg,car
1,0.511072039604187,0.49863603711128235,0.9648826718330383,0.9608286023139954,yellow,/content/VeRi/image_test/0002_c002_00030605_1.jpg,truck
2,0.5138113498687744,0.488635778427124,0.9583723545074463,0.9309068322181702,yellow,/content/VeRi/image_test/0002_c002_00030615_1.jpg,car
3,0.5203992128372192,0.5036337375640869,0.9454500675201416,0.9522474408149719,yellow,/content/VeRi/image_test/0002_c002_00030625_1.jpg,truck
4,0.4775497615337372,0.4835665822029114,0.8302703499794006,0.9199062585830688,yellow,/content/VeRi/image_test/0002_c002_00030640_0.jpg,parking meter
5,0.48608559370040894,0.4952761232852936,0.9454784393310547,0.9348956942558289,yellow,/content/VeRi/image_test/0002_c002_00030670_0.jpg,bus
6,0.44060373306274414,0.4825499951839447,0.7809661626815796,0.9133612513542175,yellow,/content/VeRi/image_test/0002_c003_00084290_0.jpg,truck
7,0.5009063482284546,0.4835953116416931,0.8573013544082642,0.8847472667694092,yellow,/content/VeRi/image_test/0002_c003_00084300_1.jpg,truck
8,0.505279004573822,0.46414607763290405,0.8985859751701355,0.8826654553413391,yellow,/content/VeRi/image_test/0002_c003_00084305_1.jpg,truck
9,0.4860784113407135,0.4751163423061371,0.8764196634292603,0.9184434413909912,yellow,/content/VeRi/image_test/0002_c003_00084315_0.jpg,truck
10,0.563123881816864,0.48047536611557007,0.8039495944976807,0.9125861525535583,yellow,/content/VeRi/image_test/0002_c003_00084325_0.jpg,bus
11,0.5051047205924988,0.4805302023887634,0.960093080997467,0.8802781701087952,yellow,/content/VeRi/image_test/0002_c004_00084250_0.jpg,car
12,0.50257408618927,0.4907805621623993,0.9872642755508423,0.9425636529922485,yellow,/content/VeRi/image_test/0002_c004_00084260_0.jpg,car
13,0.4837483763694763,0.4787912368774414,0.9452085494995117,0.9271042943000793,yellow,/content/VeRi/image_test/0002_c004_00084270_0.jpg,car
14,0.4912751317024231,0.4815485179424286,0.9759904146194458,0.8978771567344666,yellow,/content/VeRi/image_test/0002_c004_00084280_1.jpg,car
15,0.49068519473075867,0.4975181519985199,0.9733368158340454,0.9544540047645569,yellow,/content/VeRi/image_test/0002_c004_00084295_0.jpg,car
16,0.48603054881095886,0.49622684717178345,0.9696713089942932,0.9652793407440186,yellow,/content/VeRi/image_test/0002_c004_00084310_0.jpg,car
17,0.4938664138317108,0.5066223740577698,0.9681628346443176,0.9532768726348877,yellow,/content/VeRi/image_test/0002_c005_00084980_0.jpg,bus
18,0.4786195456981659,0.487236887216568,0.9268295764923096,0.974473774433136,yellow,/content/VeRi/image_test/0002_c005_00084990_0.jpg,bus
19,0.48738548159599304,0.5186042785644531,0.9346405863761902,0.9124783277511597,yellow,/content/VeRi/image_test/0002_c005_00085030_0.jpg,train
20,0.5156067609786987,0.5250351428985596,0.9618659615516663,0.8755273222923279,yellow,/content/VeRi/image_test/0002_c007_00085070_0.jpg,car
21,0.49106016755104065,0.5210855603218079,0.9727429747581482,0.9294598698616028,yellow,/content/VeRi/image_test/0002_c007_00085075_0.jpg,car
22,0.4935750663280487,0.5299891829490662,0.9495354890823364,0.9061270356178284,yellow,/content/VeRi/image_test/0002_c007_00085080_0.jpg,car
